work_id,title,description,genre_1,genre_2,genre_3,author,year,url,price
1,Nike Air Zoom Pegasus 41,"Breathable engineered mesh, React X foam and dual Zoom Air pods create an everyday road runner that balances snap and cushion for high-mileage training.",Running,Road,React X,Nike,2024,https://media.sivasdescalzo.com/media/catalog/product/H/V/HV5218-100_sivasdescalzo-Nike-AIR_ZOOM_PEGASUS_41-1736431766-3.jpg?width=3840,138
2,Adidas Ultraboost Light,Primeknit+ upper hugs the midfoot while a lighter Boost midsole returns energy for neutral runners chasing plush comfort on city loops.,Running,Road,Boost,Adidas,2023,"https://assets.adidas.com/images/w_600,f_auto,q_auto/f97d22f5b3af403ab63a5ba083e9edef_9366/Ultraboost_Light_Shoes_White_GY9350.jpg",175
3,Hoka Mach 6,"A stripped-down supercritical foam platform keeps turnover quick, and an EVA crash pad smooths transitions for uptempo runs.",Running,Road,Supercritical EVA,Hoka,2024,"https://dms.deckers.com/hoka/image/upload/f_auto,q_40,dpr_2/w_414/v1718141189/1147790-ECC_1.png?_s=RAABAB0",152
4,New Balance Fresh Foam X 1080 v13,"Full-length Fresh Foam X, rocker geometry, and a stretchy Hypoknit upper deliver a premium cushioned cruiser.",Running,Road,Fresh Foam X,New Balance,2024,https://m.media-amazon.com/images/I/51qGrS5rKDL._AC_SL1000_.jpg,166
5,ASICS Gel-Kayano 31,4D Guidance System stabilizes pronation while PureGEL and FF Blast+ ECO foams keep the ride soft for overpronators.,Running,Road,FF Blast+ ECO,ASICS,2024,https://academy.scene7.com/is/image/academy/21320413?$pdp-mobile-gallery-ng$,156
6,Brooks Ghost 16,DNA Loft v3 cushioning with a segmented crash pad caters to neutral runners wanting reliable comfort for daily miles.,Running,Road,DNA Loft v3,Brooks,2024,https://images.dsw.com/is/image/DSWShoes/573198_157_ss_01,129
7,Saucony Endorphin Speed 4,A winged nylon plate sandwiched in PWRRUN PB foam provides snappy turnover for workouts and race day versatility.,Running,Road,PWRRUN PB,Saucony,2024,https://s7d4.scene7.com/is/image/WolverineWorldWide/S20940-30_1?$dw-large$,156
8,Nike Alphafly 3,"Dual Zoom Air units, a full-length ZoomX carrier, and a Flyknit AtomKnit 3.0 upper deliver marathon-day efficiency.",Running,Road,ZoomX,Nike,2024,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/5735da65-f28c-44b1-a281-868618c1c7b0/AIR+ZOOM+ALPHAFLY+NEXT%25+3+OLY.png",262
9,Adidas Adizero Takumi Sen 10,Lightstrike Pro stacks with EnergyRods 2.0 to power 5K–10K efforts in a stripped-down racing package.,Running,Road,Lightstrike Pro,Adidas,2024,"https://assets.adidas.com/images/w_1880,f_auto,q_auto/860da2a7da2c4a42809328e253fc95b7_9366/IF1211_HM3_hover.jpg",166
10,On Cloudmonster Hyper,A PEBA-based Speedboard and dual-density Helion HF pods create max bounce for long efforts with a rocker roll.,Running,Road,Helion HF,On,2024,https://dbyvw4eroffpi.cloudfront.net/product-media/74J3/2000/2000/On-Running-Cloudmonster-Hyper-Running-Shoes-White-Mint-Green.jpg,212
11,Salomon Speedcross 6,Deep Chevron lugs with Contagrip TA rubber bite into slick trails while EnergyCell+ midsole foam softens landings.,Trail Running,Trail,EnergyCell+,Salomon,2023,https://assets.peterglenn.com/jpg/1000x1000/126666_BLK-BLK_LG.jpg,143
12,Hoka Tecton X 2,Parallel carbon plates pair with Vibram Megagrip Litebase for a propulsive yet grippy ultra-distance trail racer.,Trail Running,Trail,ProFly X,Hoka,2023,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/61494/277941/HOK2195_1000_4__60531.1690899199.jpg,202
13,Nike Metcon 9,"A sturdy Hyperlift plate, wide heel, and breathable mesh upper keep lifters stable through HIIT and functional training.",Training,Gym,React,Nike,2023,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/50edff01-5f6d-4042-be89-95a479b70ca6/W+NIKE+METCON+9.png",138
14,Reebok Nano X4,Flexweave woven textile with a Floatride Energy Foam midsole supports cross-training sessions from plyos to barbell work.,Training,Gym,Floatride Energy,Reebok,2024,https://www.reebok.co.za/cdn/shop/files/PR12382BI3270_100074186_Nano_X4_Training_Shoes_SZ4.webp?v=1732267166&width=1946,129
